"rep","p","THCM_RMSE_adaptive","THCM_RMSE_fixed","THCM_R2_adaptive","THCM_R2_fixed","ICM_RMSE_adaptive","ICM_RMSE_fixed","ICM_R2_adaptive","ICM_R2_fixed","sel_adaptive","sel_fixed","jaccard"
97,15000,0.171148439993018,0.163466557095108,0.721737957351303,0.746156579978429,0.321167601506316,0.320818247493237,0.637948408398985,0.638735632163241,807,779,0.182699478001491
98,15000,0.177032928146714,0.176434090707931,0.742033816558963,0.74377607474724,0.422137275423615,0.413535784627563,0.501850069252133,0.521943902762894,864,973,0.186692506459948
99,15000,0.171881061648984,0.187595843867464,0.657591244386482,0.592117350892246,0.52783651314845,0.517461854437611,0.360832590792114,0.385711415199949,893,1290,0.139352818371608
100,15000,0.148325905396417,0.157202168721938,0.796924021039239,0.771891427961208,0.355494346514773,0.346731404109321,0.606293993224983,0.625464489343394,909,902,0.172168284789644
1,20000,0.162903525759387,0.178121682185897,0.790343328028762,0.749342158385651,0.31465236937226,0.336465433430693,0.684738642382346,0.639512976142662,845,933,0.161332462442848
2,20000,0.164144266499205,0.165694304909029,0.59804969028657,0.590422495576911,0.300890698583326,0.314218556578059,0.666653555160279,0.636468573184473,774,895,0.147079037800687
3,20000,0.16828212528581,0.174318505152238,0.791456080234013,0.776226558132613,0.294842825655173,0.312960450750955,0.649957627490284,0.605616799872525,800,859,0.155292479108635
4,20000,0.220700022612566,0.210969617887481,0.656771005750278,0.686368955100939,0.365373141725055,0.371536508607564,0.599814185747401,0.586199089524478,977,840,0.156588160407384
5,20000,0.153279775219084,0.180813043573207,0.76869540762744,0.678134773661338,0.382387233628643,0.373855197556392,0.605123846382359,0.622548648816284,945,910,0.188340807174888
6,20000,0.194325841947392,0.182459738353593,0.687913138620809,0.724863337382448,0.33631129101873,0.331234648621366,0.585644825516942,0.598059850602723,752,854,0.167151162790698
7,20000,0.20316097095449,0.229509330994125,0.578008842608821,0.461453155997182,0.299874571652069,0.323788453526397,0.677936557818919,0.624521681671828,798,994,0.175081967213115
8,20000,0.166778076320088,0.15581690469717,0.747389662928656,0.779503173331771,0.261768470565697,0.252149177929363,0.667262576438172,0.691267683509793,704,857,0.15887156644395
9,20000,0.187896225654123,0.186983729982553,0.724666763540685,0.727334516190943,0.541312155092338,0.532585020560579,0.409930468803848,0.428803514983357,742,834,0.163958641063516
10,20000,0.139196735524196,0.136903068461051,0.865719084637955,0.870107954153785,0.231444218982426,0.236847918731832,0.675632973695242,0.660309680876639,818,921,0.153948241539482
